rank,feature,importance
718,t43_kp10_y,0.00013571
719,t43_kp08_x,0.00013561
720,t04_kp19_x,0.00013523
721,t37_kp15_x,0.00013464
722,t01_kp05_x,0.00013442
723,t04_kp30_x,0.00013424
724,t07_kp31_x,0.00013388
725,t07_kp02_x,0.00013357
726,t20_kp01_x,0.00013319
727,t38_kp10_y,0.00013297
728,t35_kp03_y,0.00013296
729,t36_kp18_x,0.00013211
730,t01_kp02_x,0.00013154
731,t16_kp02_x,0.00013135
732,t05_kp07_x,0.00013123
733,t24_kp31_x,0.00013121
734,t21_kp10_x,0.00013043
735,t31_kp08_x,0.00013027
736,t17_kp15_x,0.00012995
737,t03_kp15_x,0.00012993
738,t24_kp01_x,0.00012977
739,t32_kp02_x,0.00012885
740,t03_kp10_x,0.00012801
741,t21_kp31_x,0.00012777
742,t38_kp00_x,0.00012654
743,t00_kp00_x,0.00012644
744,t38_kp02_x,0.00012643
745,t03_kp18_x,0.00012623
746,t12_kp04_x,0.00012607
747,t28_kp22_x,0.00012599
748,t40_kp20_x,0.00012587
749,t28_kp11_x,0.00012556
750,t35_kp09_x,0.00012539
751,t44_kp02_x,0.00012514
752,t33_kp07_x,0.00012441
753,t23_kp09_x,0.00012418
754,t34_kp01_x,0.00012401
755,t40_kp05_x,0.00012376
756,t12_kp24_x,0.00012309
757,t00_kp17_x,0.00012278
758,t08_kp21_x,0.00012230
759,t41_kp06_x,0.00012224
760,t14_kp18_x,0.00012222
761,t29_kp15_x,0.00012217
762,t04_kp12_x,0.00012188
763,t36_kp16_y,0.00012130
764,t00_kp21_x,0.00012123
765,t03_kp21_x,0.00012067
766,t00_kp07_x,0.00012027
767,t02_kp04_x,0.00011990
768,t23_kp10_x,0.00011986
769,t34_kp25_x,0.00011814
770,t39_kp05_x,0.00011798
771,t34_kp26_y,0.00011798
772,t00_kp27_x,0.00011724
773,t17_kp07_x,0.00011693
774,t30_kp08_y,0.00011685
775,t21_kp04_x,0.00011649
776,t19_kp15_x,0.00011587
777,t07_kp03_x,0.00011541
778,t04_kp15_x,0.00011540
779,t15_kp03_x,0.00011517
780,t29_kp06_y,0.00011511
781,t12_kp32_x,0.00011489
782,t22_kp09_x,0.00011487
783,t37_kp18_y,0.00011447
784,t19_kp11_x,0.00011445
785,t31_kp03_x,0.00011438
786,t26_kp07_x,0.00011430
787,t20_kp11_x,0.00011418
788,t33_kp16_y,0.00011416
789,t08_kp15_x,0.00011409
790,t37_kp04_x,0.00011385
