rank,feature,importance
627,t15_kp00_x,0.00004785
628,t13_kp04_x,0.00004758
629,t07_kp25_y,0.00004755
630,t05_kp15_y,0.00004750
631,t08_kp28_y,0.00004730
632,t00_kp21_x,0.00004715
633,t07_kp04_x,0.00004701
634,t05_kp22_x,0.00004698
635,t03_kp05_y,0.00004693
636,t02_kp11_y,0.00004686
637,t10_kp06_y,0.00004656
638,t02_kp25_x,0.00004656
639,t12_kp14_x,0.00004650
640,t07_kp17_y,0.00004597
641,t02_kp24_x,0.00004594
642,t04_kp17_y,0.00004583
643,t07_kp09_y,0.00004579
644,t10_kp29_x,0.00004576
645,t14_kp01_x,0.00004562
646,t03_kp03_y,0.00004559
647,t06_kp05_y,0.00004535
648,t00_kp05_y,0.00004502
649,t00_kp15_y,0.00004490
650,t00_kp16_y,0.00004486
651,t11_kp04_x,0.00004469
652,t06_kp02_y,0.00004457
653,t09_kp06_x,0.00004455
654,t04_kp09_x,0.00004438
655,t12_kp16_x,0.00004435
656,t04_kp08_y,0.00004422
657,t12_kp20_x,0.00004406
658,t11_kp28_x,0.00004377
659,t00_kp13_y,0.00004349
660,t00_kp21_y,0.00004349
661,t05_kp08_y,0.00004341
662,t02_kp02_y,0.00004304
663,t03_kp00_y,0.00004299
664,t07_kp13_x,0.00004283
665,t01_kp19_y,0.00004259
666,t04_kp01_y,0.00004250
667,t12_kp03_y,0.00004243
668,t03_kp23_y,0.00004213
669,t03_kp32_y,0.00004170
670,t05_kp22_y,0.00004145
671,t09_kp06_y,0.00004054
672,t08_kp27_y,0.00004053
673,t03_kp12_y,0.00004052
674,t03_kp06_x,0.00004051
675,t05_kp09_y,0.00004049
676,t10_kp27_x,0.00004024
677,t00_kp12_x,0.00004014
678,t04_kp32_x,0.00003977
679,t06_kp24_y,0.00003971
680,t14_kp05_x,0.00003965
681,t11_kp08_x,0.00003961
682,t13_kp08_x,0.00003891
683,t03_kp29_y,0.00003890
684,t14_kp22_x,0.00003885
685,t10_kp30_x,0.00003883
686,t09_kp04_y,0.00003866
687,t00_kp04_x,0.00003860
688,t10_kp07_y,0.00003855
689,t02_kp05_x,0.00003854
690,t03_kp04_y,0.00003843
691,t13_kp31_x,0.00003805
692,t08_kp16_x,0.00003804
693,t08_kp16_y,0.00003803
694,t10_kp03_y,0.00003802
695,t04_kp06_y,0.00003792
696,t05_kp05_y,0.00003787
697,t02_kp17_y,0.00003772
698,t09_kp25_y,0.00003760
699,t04_kp04_y,0.00003757
700,t14_kp03_x,0.00003738
701,t03_kp03_x,0.00003737
702,t08_kp05_y,0.00003701
703,t03_kp04_x,0.00003694
704,t08_kp12_y,0.00003694
705,t02_kp19_y,0.00003641
706,t03_kp27_y,0.00003640
707,t01_kp27_y,0.00003619
708,t09_kp11_y,0.00003587
709,t03_kp12_x,0.00003562
710,t05_kp28_y,0.00003546
711,t02_kp28_x,0.00003509
712,t00_kp27_x,0.00003502
713,t03_kp21_x,0.00003499
714,t00_kp00_x,0.00003479
715,t06_kp09_y,0.00003471
716,t08_kp31_y,0.00003466
717,t02_kp15_y,0.00003457
718,t06_kp15_y,0.00003435
719,t12_kp21_y,0.00003419
720,t00_kp28_x,0.00003418
721,t13_kp11_y,0.00003389
722,t07_kp24_y,0.00003371
723,t03_kp16_y,0.00003315
724,t07_kp25_x,0.00003313
725,t05_kp30_x,0.00003295
726,t01_kp25_y,0.00003289
727,t03_kp22_y,0.00003287
728,t06_kp28_x,0.00003283
729,t09_kp27_x,0.00003280
730,t15_kp14_y,0.00003274
731,t11_kp12_x,0.00003269
732,t01_kp17_y,0.00003260
733,t07_kp30_x,0.00003257
734,t03_kp31_x,0.00003252
735,t02_kp20_y,0.00003248
736,t05_kp17_x,0.00003217
737,t00_kp31_y,0.00003212
738,t13_kp15_x,0.00003210
739,t06_kp07_x,0.00003206
740,t01_kp23_y,0.00003201
741,t05_kp01_y,0.00003201
742,t12_kp07_x,0.00003172
743,t00_kp09_x,0.00003171
744,t06_kp09_x,0.00003155
745,t13_kp28_y,0.00003130
746,t01_kp10_y,0.00003113
747,t11_kp02_x,0.00003102
748,t02_kp21_x,0.00003102
749,t05_kp08_x,0.00003088
750,t00_kp12_y,0.00003082
